Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),gFx,gFy,gFz,gFTotal,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s),Activity
1.84E+00,3.37E+00,2.02E+01,2.05E+01,-0.035,0.63,-0.884,1.086,-6.51E-01,-1.05E-01,1.45E+00,1.59E+00,running
2.92E+00,6.09E+00,2.08E+01,2.18E+01,-0.092,0.579,-0.932,1.101,-2.89E-01,5.85E-02,1.52E+00,1.55E+00,running
5.81E+00,8.05E+00,2.30E+01,2.51E+01,-0.177,0.481,-0.962,1.09,3.67E-02,3.75E-01,1.66E+00,1.71E+00,running
9.49E+00,8.95E+00,2.66E+01,2.96E+01,-0.248,0.323,-0.956,1.039,1.29E-01,8.99E-01,1.93E+00,2.13E+00,running
1.34E+01,8.01E+00,3.18E+01,3.54E+01,-0.283,0.132,-0.909,0.961,-1.22E-02,1.53E+00,2.27E+00,2.74E+00,running
1.71E+01,5.37E+00,3.76E+01,4.16E+01,-0.34,-0.034,-0.822,0.891,-2.28E-01,2.26E+00,2.64E+00,3.48E+00,running
1.99E+01,2.08E+00,4.31E+01,4.75E+01,-0.45,-0.118,-0.769,0.899,-3.16E-01,3.00E+00,3.02E+00,4.27E+00,running
1.11E+01,1.36E-01,-5.45E-01,1.11E+01,-0.569,-0.147,-0.799,0.992,-1.98E-01,3.61E+00,3.34E+00,4.92E+00,running
1.25E+01,9.16E-01,9.61E-01,1.26E+01,-0.591,-0.182,-0.833,1.037,-2.39E-02,3.88E+00,3.59E+00,5.29E+00,running
1.37E+01,1.43E+00,3.76E+00,1.43E+01,-0.528,-0.234,-0.806,0.992,1.57E-01,3.69E+00,3.70E+00,5.23E+00,running
1.45E+01,1.89E+00,7.99E+00,1.67E+01,-0.416,-0.322,-0.761,0.925,2.90E-01,3.13E+00,3.91E+00,5.02E+00,running
1.44E+01,2.90E+00,1.19E+01,1.89E+01,-0.319,-0.42,-0.709,0.884,2.47E-01,2.46E+00,4.27E+00,4.93E+00,running
1.31E+01,3.81E+00,1.53E+01,2.05E+01,-0.28,-0.561,-0.695,0.936,8.23E-03,1.67E+00,4.68E+00,4.97E+00,running
1.13E+01,3.66E+00,1.82E+01,2.17E+01,-0.329,-0.766,-0.784,1.144,-2.28E-01,1.03E+00,5.06E+00,5.17E+00,running
9.10E+00,2.90E+00,2.07E+01,2.28E+01,-0.475,-0.844,-1.07,1.443,-1.28E-01,7.87E-01,5.32E+00,5.38E+00,running
5.83E+00,2.34E+00,2.28E+01,2.36E+01,-0.635,-0.622,-1.544,1.782,6.45E-01,9.44E-01,5.50E+00,5.62E+00,running
2.12E+00,2.25E+00,2.35E+01,2.37E+01,-0.707,-0.271,-2.024,2.161,1.93E+00,1.32E+00,5.63E+00,6.09E+00,running
-9.93E-01,3.68E+00,9.36E+00,1.01E+01,-0.051,-0.115,-1.133,1.14,8.60E-02,-2.67E-01,8.86E-02,2.94E-01,walking
-8.08E-01,3.57E+00,9.56E+00,1.02E+01,-0.025,-0.089,-1.12,1.124,5.47E-02,-1.15E-01,1.12E-01,1.70E-01,walking
-6.16E-01,3.61E+00,9.75E+00,1.04E+01,0.009,-0.062,-1.086,1.088,9.54E-03,-8.48E-02,9.34E-02,1.27E-01,walking
-4.64E-01,3.65E+00,9.90E+00,1.06E+01,0.043,-0.04,-1.046,1.048,-4.76E-02,-1.93E-01,3.77E-02,2.02E-01,walking
-4.16E-01,3.70E+00,1.01E+01,1.07E+01,0.084,-0.03,-1.007,1.011,-1.27E-01,-3.60E-01,-5.40E-02,3.86E-01,walking
-4.40E-01,3.71E+00,1.02E+01,1.09E+01,0.13,-0.035,-0.978,0.987,-2.12E-01,-5.31E-01,-1.65E-01,5.95E-01,walking
-4.63E-01,3.67E+00,1.04E+01,1.10E+01,0.167,-0.059,-0.954,0.97,-2.83E-01,-6.49E-01,-2.82E-01,7.62E-01,walking
-4.16E-01,3.53E+00,1.05E+01,1.11E+01,0.181,-0.086,-0.935,0.956,-3.29E-01,-6.48E-01,-3.80E-01,8.20E-01,walking
-2.90E-01,3.37E+00,1.08E+01,1.14E+01,0.161,-0.112,-0.924,0.945,-3.60E-01,-4.86E-01,-4.53E-01,7.55E-01,walking
-1.31E-01,3.21E+00,1.12E+01,1.16E+01,0.118,-0.132,-0.931,0.947,-3.79E-01,-1.57E-01,-4.65E-01,6.20E-01,walking
-7.44E-02,3.17E+00,1.14E+01,1.18E+01,0.062,-0.137,-0.953,0.965,-3.95E-01,2.46E-01,-4.26E-01,6.31E-01,walking
1.64E-01,3.23E+00,1.15E+01,1.19E+01,0.006,-0.129,-0.981,0.989,-4.10E-01,6.59E-01,-3.56E-01,8.53E-01,walking
6.46E-01,3.25E+00,1.13E+01,1.18E+01,-0.03,-0.106,-1.005,1.011,-4.36E-01,1.04E+00,-2.50E-01,1.16E+00,walking
1.18E+00,3.21E+00,1.10E+01,1.15E+01,-0.038,-0.066,-1.017,1.02,-4.64E-01,1.34E+00,-1.19E-01,1.43E+00,walking
1.71E+00,3.17E+00,1.07E+01,1.13E+01,-0.022,-0.03,-1.019,1.019,-5.03E-01,1.49E+00,-7.91E-03,1.57E+00,walking
2.16E+00,3.12E+00,1.05E+01,1.12E+01,0.017,0.003,-1.003,1.003,-5.45E-01,1.42E+00,7.18E-02,1.53E+00,walking
2.50E+00,2.99E+00,1.05E+01,1.12E+01,0.065,0.021,-0.966,0.968,-5.58E-01,1.19E+00,1.13E-01,1.32E+00,walking
2.59E+00,2.78E+00,1.07E+01,1.13E+01,0.11,0.033,-0.921,0.928,-5.07E-01,7.99E-01,1.39E-01,9.56E-01,walking
2.34E+00,2.57E+00,1.08E+01,1.14E+01,0.139,0.034,-0.877,0.888,-3.92E-01,2.12E-01,1.37E-01,4.66E-01,walking
1.88E+00,2.29E+00,1.09E+01,1.13E+01,0.15,0.031,-0.839,0.853,-2.06E-01,-3.37E-01,1.14E-01,4.11E-01,walking
1.45E+00,1.85E+00,1.08E+01,1.11E+01,0.157,0.022,-0.82,0.835,4.99E-02,-5.88E-01,7.04E-02,5.95E-01,walking
3.60E-01,2.17E+00,9.54E+00,9.79E+00,-0.015,-0.19,-0.978,0.997,7.52E-04,-4.83E-04,-4.58E-03,4.66E-03,standing
3.27E-01,2.13E+00,9.60E+00,9.84E+00,-0.012,-0.188,-0.98,0.998,-4.50E-03,-1.73E-03,-4.44E-03,6.55E-03,standing
3.55E-01,2.10E+00,9.64E+00,9.87E+00,-0.011,-0.186,-0.978,0.995,-3.62E-03,-9.58E-03,-5.35E-04,1.03E-02,standing
3.90E-01,2.10E+00,9.64E+00,9.87E+00,-0.01,-0.183,-0.973,0.99,1.28E-03,-1.14E-02,-1.71E-03,1.16E-02,standing
3.66E-01,2.07E+00,9.61E+00,9.84E+00,-0.009,-0.183,-0.968,0.986,7.41E-03,-8.92E-03,-9.02E-04,1.16E-02,standing
3.41E-01,2.09E+00,9.54E+00,9.78E+00,-0.006,-0.182,-0.967,0.984,6.67E-03,-3.37E-03,1.61E-03,7.65E-03,standing
3.23E-01,2.12E+00,9.47E+00,9.71E+00,-0.003,-0.182,-0.967,0.984,1.15E-02,-1.03E-03,5.20E-03,1.26E-02,standing
3.12E-01,2.13E+00,9.39E+00,9.63E+00,-0.002,-0.184,-0.968,0.985,1.23E-02,1.97E-03,1.53E-03,1.25E-02,standing
2.97E-01,2.13E+00,9.32E+00,9.56E+00,0.003,-0.185,-0.964,0.982,1.45E-02,3.09E-03,2.47E-03,1.51E-02,standing
3.19E-01,2.13E+00,9.31E+00,9.56E+00,0.009,-0.183,-0.962,0.979,1.58E-02,2.13E-03,1.91E-03,1.61E-02,standing
